Waste Stream,Location,Year,Scenario,additionalSpecification,Stock/Flow ID,Layer 1,Layer 2,Layer 3,Layer 4,Value,Unit
BATT,EU27+4,2025,REC,,BATT_2RM_LIBBlackMass3,battLiRechargeable,cathodeActiveMaterial,shadowMaterial,Mn,4415.462587,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_LIBBlackMass3,battLiRechargeable,cathodeActiveMaterial,shadowMaterial,Ni,8319.473277,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_LIBBlackMass3,battLiRechargeable,cathodeActiveMaterial,shadowMaterial,O,15898.35797,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_LIBBlackMass3,battLiRechargeable,cathodeActiveMaterial,shadowMaterial,P,1180.128051,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_chemRecLIB1,battLiRechargeable,cathodeActiveMaterial,shadowMaterial,Co,469.7424657,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_chemRecLIB1,battLiRechargeable,cathodeActiveMaterial,shadowMaterial,Fe,70.83797624,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_chemRecLIB1,battLiRechargeable,cathodeActiveMaterial,shadowMaterial,Ni,403.7023472,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_chemRecLIB1,battLiRechargeable,currentCollectorAnode,shadowMaterial,Cu,515.0435846,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_chemRecLIB2,battLiRechargeable,cathodeActiveMaterial,shadowMaterial,Co,4592.169339,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_chemRecLIB2,battLiRechargeable,cathodeActiveMaterial,shadowMaterial,Li,1400.573325,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_chemRecLIB2,battLiRechargeable,cathodeActiveMaterial,shadowMaterial,Mn,2027.613918,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_chemRecLIB2,battLiRechargeable,cathodeActiveMaterial,shadowMaterial,Ni,3747.244276,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_chemRecLIB4,battLiRechargeable,cathodeActiveMaterial,shadowMaterial,Co,572.5722238,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_chemRecLIB4,battLiRechargeable,cathodeActiveMaterial,shadowMaterial,Ni,492.0894783,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_chemRecSlagsAndSludges1,battLiRechargeable,batteryCellElectrolyte,shadowMaterial,Li,1.23297467,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_chemRecSlagsAndSludges1,battLiRechargeable,cathodeActiveMaterial,shadowMaterial,Li,16.56655087,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_dismantlingToSmelter,battPackXEV,,,,37161.83195,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_dismantlingToSmelter,battPackXEV,batteryPackCables,,,2646.364038,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_dismantlingToSmelter,battPackXEV,batteryPackCables,shadowMaterial,,2646.364038,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_dismantlingToSmelter,battPackXEV,batteryPackCables,shadowMaterial,Cu,2646.364038,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_dismantlingToSmelter,battPackXEV,batteryPackCellTerminals,,,1435.879219,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_dismantlingToSmelter,battPackXEV,batteryPackCellTerminals,shadowMaterial,,1435.778773,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_dismantlingToSmelter,battPackXEV,batteryPackCellTerminals,shadowMaterial,Al,440.4879868,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_dismantlingToSmelter,battPackXEV,batteryPackCellTerminals,shadowMaterial,Cu,995.3912324,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_dismantlingToSmelter,battPackXEV,batteryPackModuleEnclosuresAndCoolantManifolds,,,6452.302075,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_dismantlingToSmelter,battPackXEV,batteryPackModuleEnclosuresAndCoolantManifolds,shadowMaterial,,6452.302075,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_dismantlingToSmelter,battPackXEV,batteryPackModuleEnclosuresAndCoolantManifolds,shadowMaterial,Fe,6452.302075,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_dismantlingToSmelter,battPackXEV,batteryPackSupportFrame,,,17942.97377,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_dismantlingToSmelter,battPackXEV,batteryPackSupportFrame,shadowMaterial,,17942.97377,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_dismantlingToSmelter,battPackXEV,batteryPackSupportFrame,shadowMaterial,Fe,17942.97377,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_dismantlingToSmelter,battPackXEV,batteryPackThermalInsulation,,,8684.312852,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_dismantlingToSmelter,battPackXEV,batteryPackThermalInsulation,shadowMaterial,,8684.312852,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_dismantlingToSmelter,battPackXEV,batteryPackThermalInsulation,shadowMaterial,Al,8684.312852,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_mechRecLIB2,battLiRechargeable,batteryCellCasing,AlAndAlAlloys,,2800.903327,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_mechRecLIB2,battLiRechargeable,batteryCellCasing,AlAndAlAlloys,undefinedElements,2800.903327,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_mechRecLIB2,battLiRechargeable,batteryCellCasing,ferrousMetals,,3280.766473,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_mechRecLIB2,battLiRechargeable,batteryCellCasing,ferrousMetals,undefinedElements,3280.766473,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_mechRecLIB2,battLiRechargeable,currentCollectorAnode,shadowMaterial,Cu,5583.86582,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_mechRecLIB2,battLiRechargeable,currentCollectorCathode,shadowMaterial,Al,3179.76473,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_mechRecLIB3,battLiRechargeable,batteryCellCasing,AlAndAlAlloys,,5672.467465,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_mechRecLIB3,battLiRechargeable,batteryCellCasing,AlAndAlAlloys,undefinedElements,5672.467465,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_mechRecLIB3,battLiRechargeable,batteryCellCasing,ferrousMetals,,6644.299679,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_mechRecLIB3,battLiRechargeable,batteryCellCasing,ferrousMetals,undefinedElements,6644.299679,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_mechRecLIB3,battLiRechargeable,currentCollectorAnode,shadowMaterial,Cu,11308.60065,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_mechRecLIB3,battLiRechargeable,currentCollectorCathode,shadowMaterial,Al,6439.748134,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_mechRecLIB4,battLiRechargeable,batteryCellCasing,AlAndAlAlloys,,371.539097,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_mechRecLIB4,battLiRechargeable,batteryCellCasing,AlAndAlAlloys,undefinedElements,371.539097,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_mechRecLIB4,battLiRechargeable,batteryCellCasing,ferrousMetals,,435.1928183,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_mechRecLIB4,battLiRechargeable,batteryCellCasing,ferrousMetals,undefinedElements,435.1928183,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_mechRecLIB4,battLiRechargeable,currentCollectorAnode,shadowMaterial,Cu,740.6983469,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_mechRecLIB4,battLiRechargeable,currentCollectorCathode,shadowMaterial,Al,421.7949634,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_mechRecLeadAcid,battPb,batteryCellCasing,,,184096.4702,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_mechRecLeadAcid,battPb,batteryCellCasing,plastics,,184096.4702,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_mechRecLeadAcid,battPb,batteryCellCasing,plastics,undefinedElements,184096.4702,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_mechRecLeadAcid,battPb,batteryCellElectrolyte,,,490923.9206,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_mechRecLeadAcid,battPb,batteryCellElectrolyte,shadowMaterial,,490923.9206,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_mechRecLeadAcid,battPb,batteryCellElectrolyte,shadowMaterial,H,10113.03276,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_mechRecLeadAcid,battPb,batteryCellElectrolyte,shadowMaterial,O,320327.8582,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_mechRecLeadAcid,battPb,batteryCellElectrolyte,shadowMaterial,S,160483.0296,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_mechRecNiCd,battNiCd,batteryCellCasing,,,9455.928269,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_mechRecNiCd,battNiCd,batteryCellCasing,ferrousMetals,,9455.928269,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_mechRecNiCd,battNiCd,batteryCellCasing,ferrousMetals,undefinedElements,9455.928269,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_mechRecNiMH,battNiMH,batteryCellCasing,,,5905.123169,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_mechRecNiMH,battNiMH,batteryCellCasing,ferrousMetals,,7867.605365,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_mechRecNiMH,battNiMH,batteryCellCasing,ferrousMetals,undefinedElements,7867.605365,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_refinedZn/Ag,battZn,anodeActiveMaterial,shadowMaterial,Zn,57121.00467,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_refinedZn/Ag,battZn,batteryCellElectrolyte,shadowMaterial,Zn,1010.025882,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_refinedZn/Ag,battZn,cathodeActiveMaterial,shadowMaterial,Ag,240.3605204,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_therRecHg,battZn,cathodeActiveMaterial,shadowMaterial,Hg,0.138853037,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_therRecLeadDust,battPb,anodeActiveMaterial,shadowMaterial,Pb,5062.652931,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_therRecLeadDust,battPb,cathodeActiveMaterial,shadowMaterial,Pb,2923.513312,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_therRecNiCd,battNiCd,anodeActiveMaterial,shadowMaterial,Cd,4601.14345,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_therRecNiCd,battNiCd,cathodeActiveMaterial,shadowMaterial,Ni,4715.808594,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_therRecNiCd,battNiCd,cathodeAdditive,shadowMaterial,Co,122.7843015,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_therRecNiCd,battNiCd,currentCollectorAnode,ferrousMetals,,1189.917326,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_therRecNiCd,battNiCd,currentCollectorAnode,ferrousMetals,undefinedElements,1189.917326,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_therRecNiCd,battNiCd,currentCollectorCathode,ferrousMetals,,940.7721576,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_therRecNiCd,battNiCd,currentCollectorCathode,ferrousMetals,undefinedElements,940.7721576,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_therRecNiMH,battNiMH,cathodeActiveMaterial,shadowMaterial,Ni,6339.08187,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_therRecNiMH,battNiMH,currentCollectorAnode,ferrousMetals,,2508.230211,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_therRecNiMH,battNiMH,currentCollectorAnode,ferrousMetals,undefinedElements,2508.230211,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_therRecNiMH,battNiMH,currentCollectorCathode,ferrousMetals,,2335.047609,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_therRecNiMH,battNiMH,currentCollectorCathode,ferrousMetals,undefinedElements,2335.047609,Mg
BATT,EU27+4,2025,REC,,BATT_AAMToRegeneration,battLiRechargeable,anodeActiveMaterial,graphite,,55.97454368,Mg
BATT,EU27+4,2025,REC,,BATT_AAMToRegeneration,battLiRechargeable,anodeActiveMaterial,graphite,C,55.97454368,Mg
BATT,EU27+4,2025,REC,,BATT_CAMToRegeneration,battLiRechargeable,cathodeActiveMaterial,shadowMaterial,Fe,5.543838932,Mg
BATT,EU27+4,2025,REC,,BATT_CAMToRegeneration,battLiRechargeable,cathodeActiveMaterial,shadowMaterial,Li,8.031347605,Mg
BATT,EU27+4,2025,REC,,BATT_CAMToRegeneration,battLiRechargeable,cathodeActiveMaterial,shadowMaterial,O,41.41415235,Mg
BATT,EU27+4,2025,REC,,BATT_CAMToRegeneration,battLiRechargeable,cathodeActiveMaterial,shadowMaterial,P,3.074154135,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedRecycling,battLiRechargeable,,,,51051.4422,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedRecycling,battLiRechargeable,anodeActiveMaterial,,,13537.43563,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedRecycling,battLiRechargeable,anodeActiveMaterial,shadowMaterial,,13512.71666,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedRecycling,battLiRechargeable,anodeActiveMaterial,shadowMaterial,C,13481.54335,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedRecycling,battLiRechargeable,anodeActiveMaterial,shadowMaterial,Si,55.89228054,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedRecycling,battLiRechargeable,batteryCellCasing,,,1213.426731,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedRecycling,battLiRechargeable,batteryCellCasing,mixedMaterials,,1213.426731,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedRecycling,battLiRechargeable,batteryCellCasing,mixedMaterials,undefinedElements,1213.426731,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedRecycling,battLiRechargeable,batteryCellElectrolyte,,,6195.189363,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedRecycling,battLiRechargeable,batteryCellElectrolyte,electrolytes,,5967.3721,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedRecycling,battLiRechargeable,batteryCellElectrolyte,electrolytes,undefinedElements,5967.3721,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedRecycling,battLiRechargeable,batteryCellElectrolyte,shadowMaterial,,226.8636137,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedRecycling,battLiRechargeable,batteryCellElectrolyte,shadowMaterial,Li,227.8172632,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedRecycling,battLiRechargeable,batteryCellSeparator,,,567.4185221,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedRecycling,battLiRechargeable,batteryCellSeparator,polyolefines,,567.4185221,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedRecycling,battLiRechargeable,batteryCellSeparator,polyolefines,undefinedElements,567.4185221,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedRecycling,battLiRechargeable,cathodeActiveMaterial,,,23508.23971,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedRecycling,battLiRechargeable,cathodeActiveMaterial,shadowMaterial,,23508.29827,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedRecycling,battLiRechargeable,cathodeActiveMaterial,shadowMaterial,Al,41.96373573,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedRecycling,battLiRechargeable,cathodeActiveMaterial,shadowMaterial,Co,2266.606283,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedRecycling,battLiRechargeable,cathodeActiveMaterial,shadowMaterial,Fe,773.3340839,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedRecycling,battLiRechargeable,cathodeActiveMaterial,shadowMaterial,Li,1574.014841,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedRecycling,battLiRechargeable,cathodeActiveMaterial,shadowMaterial,Mn,2968.337864,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedRecycling,battLiRechargeable,cathodeActiveMaterial,shadowMaterial,Ni,7514.021336,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedRecycling,battLiRechargeable,cathodeActiveMaterial,shadowMaterial,O,7941.140424,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedRecycling,battLiRechargeable,cathodeActiveMaterial,shadowMaterial,P,428.8211441,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedRecycling,battLiRechargeable,currentCollectorAnode,,,4225.253784,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedRecycling,battLiRechargeable,currentCollectorAnode,shadowMaterial,,4225.253784,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedRecycling,battLiRechargeable,currentCollectorAnode,shadowMaterial,Cu,4225.253784,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedRecycling,battLiRechargeable,currentCollectorCathode,,,1804.478458,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedRecycling,battLiRechargeable,currentCollectorCathode,shadowMaterial,,1804.478458,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedRecycling,battLiRechargeable,currentCollectorCathode,shadowMaterial,Al,1804.478458,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedReuse,battLiRechargeable,,,,2055.228142,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedReuse,battLiRechargeable,anodeActiveMaterial,,,544.9898669,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedReuse,battLiRechargeable,anodeActiveMaterial,shadowMaterial,,543.9947307,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedReuse,battLiRechargeable,anodeActiveMaterial,shadowMaterial,C,542.7397563,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedReuse,battLiRechargeable,anodeActiveMaterial,shadowMaterial,Si,2.250110535,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedReuse,battLiRechargeable,batteryCellCasing,,,48.85011391,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedReuse,battLiRechargeable,batteryCellCasing,mixedMaterials,,48.85011391,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedReuse,battLiRechargeable,batteryCellCasing,mixedMaterials,undefinedElements,48.85011391,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedReuse,battLiRechargeable,batteryCellElectrolyte,,,249.4058341,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedReuse,battLiRechargeable,batteryCellElectrolyte,electrolytes,,240.2343704,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedReuse,battLiRechargeable,batteryCellElectrolyte,electrolytes,undefinedElements,240.2343704,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedReuse,battLiRechargeable,batteryCellElectrolyte,shadowMaterial,,9.133071727,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedReuse,battLiRechargeable,batteryCellElectrolyte,shadowMaterial,Li,9.171463731,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedReuse,battLiRechargeable,batteryCellSeparator,,,22.84312577,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedReuse,battLiRechargeable,batteryCellSeparator,polyolefines,,22.84312577,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedReuse,battLiRechargeable,batteryCellSeparator,polyolefines,undefinedElements,22.84312577,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedReuse,battLiRechargeable,cathodeActiveMaterial,,,946.3943377,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedReuse,battLiRechargeable,cathodeActiveMaterial,shadowMaterial,,946.396695,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedReuse,battLiRechargeable,cathodeActiveMaterial,shadowMaterial,Al,1.689375401,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedReuse,battLiRechargeable,cathodeActiveMaterial,shadowMaterial,Co,91.24899942,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedReuse,battLiRechargeable,cathodeActiveMaterial,shadowMaterial,Fe,31.13287116,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedReuse,battLiRechargeable,cathodeActiveMaterial,shadowMaterial,Li,63.36666427,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedReuse,battLiRechargeable,cathodeActiveMaterial,shadowMaterial,Mn,119.4992982,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedReuse,battLiRechargeable,cathodeActiveMaterial,shadowMaterial,Ni,302.4993506,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedReuse,battLiRechargeable,cathodeActiveMaterial,shadowMaterial,O,319.694304,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedReuse,battLiRechargeable,cathodeActiveMaterial,shadowMaterial,P,17.26347475,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedReuse,battLiRechargeable,currentCollectorAnode,,,170.1001991,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedReuse,battLiRechargeable,currentCollectorAnode,shadowMaterial,,170.1001991,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedReuse,battLiRechargeable,currentCollectorAnode,shadowMaterial,Cu,170.1001991,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedReuse,battLiRechargeable,currentCollectorCathode,,,72.64466485,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedReuse,battLiRechargeable,currentCollectorCathode,shadowMaterial,,72.64466485,Mg
BATT,EU27+4,2025,REC,,BATT_EVInspectedReuse,battLiRechargeable,currentCollectorCathode,shadowMaterial,Al,72.64466485,Mg
BATT,EU27+4,2025,REC,,BATT_EV_NiMHCollectedAndTreated,battNiMH,,,,2749.229082,Mg
BATT,EU27+4,2025,REC,,BATT_EV_NiMHCollectedAndTreated,battNiMH,anodeActiveMaterial,,,482.214781,Mg
BATT,EU27+4,2025,REC,,BATT_EV_NiMHCollectedAndTreated,battNiMH,anodeActiveMaterial,shadowMaterial,,2749.229082,Mg
BATT,EU27+4,2025,REC,,BATT_EV_NiMHCollectedAndTreated,battNiMH,anodeActiveMaterial,shadowMaterial,Al,34.09044062,Mg
BATT,EU27+4,2025,REC,,BATT_EV_NiMHCollectedAndTreated,battNiMH,anodeActiveMaterial,shadowMaterial,Ce,189.9717296,Mg
BATT,EU27+4,2025,REC,,BATT_EV_NiMHCollectedAndTreated,battNiMH,anodeActiveMaterial,shadowMaterial,Co,405.7862125,Mg
BATT,EU27+4,2025,REC,,BATT_EV_NiMHCollectedAndTreated,battNiMH,anodeActiveMaterial,shadowMaterial,Cr,86.60071609,Mg
BATT,EU27+4,2025,REC,,BATT_EV_NiMHCollectedAndTreated,battNiMH,anodeActiveMaterial,shadowMaterial,Fe,10.1721476,Mg
BATT,EU27+4,2025,REC,,BATT_EV_NiMHCollectedAndTreated,battNiMH,anodeActiveMaterial,shadowMaterial,La,316.1613445,Mg
BATT,EU27+4,2025,REC,,BATT_EV_NiMHCollectedAndTreated,battNiMH,anodeActiveMaterial,shadowMaterial,Mn,134.1623792,Mg
BATT,EU27+4,2025,REC,,BATT_EV_NiMHCollectedAndTreated,battNiMH,anodeActiveMaterial,shadowMaterial,Nd,183.0986569,Mg
BATT,EU27+4,2025,REC,,BATT_EV_NiMHCollectedAndTreated,battNiMH,anodeActiveMaterial,shadowMaterial,Ni,1181.61866,Mg
BATT,EU27+4,2025,REC,,BATT_EV_NiMHCollectedAndTreated,battNiMH,anodeActiveMaterial,shadowMaterial,Pr,28.59198246,Mg
